time_s,current_density_a_cm2,cell_voltage_v,faradaic_h2_rate_mol_s,crossover_rate_mol_s,retained_h2_rate_mol_s,crossover_fraction_percent
15.2,1.953663e-05,1.299916,8.099321e-11,4.637601e-10,-3.8276689e-10,nan
92.7,0.1982218,1.826995,8.216119e-07,5.297264e-09,8.16314636e-07,0.644740418195014
112.7,0.3924193,1.905479,1.621899e-06,1.135896e-08,1.61054004e-06,0.7003494052342346
129.6,0.6090529,1.962084,2.530532e-06,1.874861e-08,2.5117833900000003e-06,0.7408959855081856
144.7,0.7796621,2.007452,3.209942e-06,2.735465e-08,3.18258735e-06,0.852185179669913
159.8,1.010593,2.046946,4.188392e-06,3.706118e-08,4.15133082e-06,0.884854617237355
175.4,1.202502,2.080933,5.00081e-06,4.800022e-08,4.9528097800000006e-06,0.9598489044774746
190.5,1.406316,2.112975,5.827773e-06,5.975808e-08,5.7680149199999996e-06,1.0254016414160263
205.6,1.6027200000000001,2.1446,6.644316e-06,7.227421e-08,6.572041789999999e-06,1.0877599740891313
220.7,1.7972560000000002,2.186372,7.447131e-06,8.352552e-08,7.36360548e-06,1.121579840612445
235.8,1.996489,2.234786,8.270489e-06,8.793501e-08,8.18255399e-06,1.0632383405624504
