trial,membrane_thickness_um,cell_voltage_v,crossover_rate_mol_s
0,10.0,1.772372,6.067177e-08
27,11.277300726234671,1.773774,6.049929e-08
21,13.762216962845187,1.776517,6.0067e-08
38,17.061614647010252,1.780188,5.934149e-08
1,20.0,1.783482,5.859333e-08
23,22.110333127239265,1.785859,5.801441e-08
22,23.439148944825362,1.787369,5.763685e-08
36,28.72865011551263,1.793416,5.606886e-08
29,29.293447203892967,1.794067,5.589743e-08
2,30.0,1.794883,5.568252e-08
45,35.06566187462148,1.800755,5.413067e-08
20,36.78277685904218,1.802763,5.360503e-08
17,39.28239981741563,1.805691,5.284311e-08
3,40.0,1.806533,5.262568e-08
49,43.59325089031149,1.810768,5.154603e-08
35,43.64665098891174,1.810834,5.153014e-08
43,46.4548931061062,1.814158,5.070038e-08
25,47.7165528024035,1.815653,5.033217e-08
12,48.69794786543797,1.816822,5.004799e-08
4,50.0,1.818368,4.967354e-08
11,52.59945893092017,1.821465,4.893613e-08
19,54.829257528462676,1.824131,4.831462e-08
47,57.24880873020263,1.827028,4.765204e-08
5,60.0,1.830326,4.691417e-08
30,60.020045897169815,1.830347,4.690861e-08
40,60.7933011414757,1.831274,4.670402e-08
16,64.66974055799068,1.835927,4.569877e-08
24,67.79500275501111,1.839685,4.491181e-08
44,69.3257642340291,1.841525,4.453396e-08
6,70.0,1.842338,4.436925e-08
28,73.96835941535728,1.847109,4.341814e-08
33,73.9836532232419,1.847126,4.341447e-08
37,74.07800219920705,1.847239,4.339224e-08
13,74.80633631900412,1.848119,4.322126e-08
46,77.62908665607505,1.85151,4.25694e-08
7,80.0,1.854355,4.203375e-08
31,81.17522183991508,1.855769,4.17726e-08
15,82.19798813621549,1.856994,4.154729e-08
42,84.31997932781317,1.859535,4.108587e-08
34,87.13359241492158,1.862897,4.048781e-08
18,87.42179189478071,1.863246,4.042753e-08
8,90.0,1.866321,3.989344e-08
26,90.28702013874262,1.866661,3.983459e-08
41,93.51046771137817,1.870489,3.918539e-08
39,93.63551969986719,1.87064,3.916077e-08
48,94.20884125385258,1.871316,3.904737e-08
10,97.35307209347673,1.875054,3.843406e-08
14,98.40213183124695,1.876289,3.823274e-08
32,99.71202047519617,1.877838,3.798481e-08
9,100.0,1.878177,3.793057e-08
