time_s,voltage_v,current_a,current_density_a_m2,current_density_a_cm2,target_current_density_a_m2,target_current_error_a_m2,target_current_error_relative,accepted,source
10.0,1.3,-3.617e-05,-0.452125,-4.52125e-05,,,,,boundary-current-density
20.0,1.4,-0.0001556296,-1.945369,-0.0001945369,,,,,boundary-current-density
30.0,1.4,-0.0001330648,-1.66331,-0.000166331,,,,,boundary-current-density
40.0,1.5,-0.002334495,-29.18119,-0.0029181190000000003,,,,,boundary-current-density
50.0,1.6,-0.01085396,-135.6745,-0.01356745,,,,,boundary-current-density
60.0,1.6,-0.01038607,-129.8258,-0.012982579999999999,,,,,boundary-current-density
70.0,1.7,-0.04128487,-516.0608,-0.05160608,,,,,boundary-current-density
80.0,1.8,-0.1317708,-1647.135,-0.1647135,,,,,boundary-current-density
90.0,1.8,-0.1338035,-1672.544,-0.1672544,,,,,boundary-current-density
100.0,1.9,-0.3210697,-4013.371,-0.4013371,,,,,boundary-current-density
110.0,2.0,-0.6221981,-7777.477,-0.7777476999999999,,,,,boundary-current-density
120.0,2.0,-0.5914425,-7393.031,-0.7393031,,,,,boundary-current-density
130.0,2.1,-1.060777,-13259.71,-1.325971,,,,,boundary-current-density
140.0,2.2,-1.508689,-18858.62,-1.885862,,,,,boundary-current-density
150.0,2.2,-1.48511,-18563.88,-1.8563880000000001,,,,,boundary-current-density
160.0,2.3,-1.827531,-22844.13,-2.2844130000000002,,,,,boundary-current-density
165.0,2.3,-1.830246,-22878.07,-2.287807,,,,,boundary-current-density
